Reference_number,Reference,Publication_year,Type of publication
109,Carlos HSA (2006) Uso de Corredores Florestais e Matriz de Pasto por Pequenos Mamíferos em Mata Atlântica do Estado do Rio de Janeiro. Universidade Federal de Minas Gerais.,2006,Thesis
110,Rosa AO (2002) Comparação da diversidade de mamíferos não-voadores em áreas de floresta de restinga e áreas reflorestadas com Pinus elliottii no Sul do Brasil. Universidade do Vale do Rio Dos Sinos– UNISINOS.,2002,Thesis
111,Grelle CEV (1996) Análise tridimensional de uma comunidade de pequenos mamíferos. Universidade Federal de Minas Gerais.,1996,Thesis
112,Moura RT (1999) Análise Comparativa da Estrutura de Comunidades de Pequenos Mamíferos em Remanescente de Mata Atlântica e Plantio de Cacau em Sistema de Cabruca no Sul da Bahia. Universidade de Minas Gerais.,1999,Thesis
113,Pinto IdS Loss ACC Falqueto A Leite YLR (2009) Pequenos mamíferos não voadores em fragmentos de Mata Atlântica e áreas agrícolas em Viana Espírito Santo Brasil. Biota Neotrop. 9: 355-360.,2009,Article
114,Passamani M Dalmaschio J Lopes SA (2005) Mamíferos não-voadores em áreas com predomínio de Mata Atlântica da Samarco Mineração S.A. município de Anchieta Espírito Santo. Biotemas 18: 135-149.,2005,Article
115,Cherem JJ (2005) Registros de mamíferos não voadores em estudos de avaliação ambiental no sul do Brasil. Biotemas 18: 169-202.,2005,Article
116,Siqueira DB Aléssio FM Mauffrey JF Marvulo MFV Ribeiro VO Oliveira RL et al. (2013) Seroprevalence of Toxoplasma gondiiin Wild Marsupials and Rodents from the Atlantic Forest of Pernambuco State Northeastern Region Brazil. Journal of Parasitology 99: 1140-1143.,2013,Article
117,Cherem JJ Graipel ME Menezes ME Soldateli M (1996) Observações sobre a biologia do gambá (Didelphis marsupialis) na Ilha de Ratones Grande Estado de Santa Catarina Brasil. Biotemas 9: 47-56.,1996,Thesis
118,Graipel ME Cherem JJ Machado DA Garcia PC Menezes ME Soldateli M (1997) Vertebrados da Ilha de Ratones Grande Santa Catarina Brasil. Biotemas 10: 105-122.,1997,Article
119,Caceres NC Ghizoni IR Graipel ME (2002) Diet of two marsupials Lutreolina crassicaudata and Micoureus demerarae in a coastal Atlantic Forest island of Brazil. Mammalia 66: 331-339.,2002,Article
120,Graipel McE Cherem JJ Monteiro-Filho ELA Glock L (2006) Dinâmica populacional de marsupiais e roedores no Parque Municipal da Lagoa do Peri Ilha de Santa Catarina sul do Brasil. Mastozoología Neotropical 13: 31-49.,2006,Article
121,Bressiani VB Graipel ME (2008) Comparação de métodos para captura da cuíca-d’água chironectes minimus (Zimmerman 1780) (Mammalia Dipelphidae) no Sul do Brasil. Mastozoología Neotropical 15: 33-39.,2008,Article
122,Salvador CH Fernandez FAS (2008) Population dynamics and conservation status of the insular cavy Cavia intermedia (Rodentia: Caviidae). Journal of Mammalogy 89: 721-729.,2008,Article
123,Steiner-Souza F Cordeiro-Estrela P Percequillo AR Testoni AF Althoff SL (2008) New records of Rhagomys rufescens (Rodentia: Sigmodontinae) in the Atlantic forest of Brazil. Zootaxa 1824: 28-34.,2008,Article
124,Antunes PC Campos MAA Oliveira-Santos LGR Graipel ME (2009) Population dynamics of Euryoryzomys russatus and Oligoryzomys nigripes (Rodentia Cricetidae) in an Atlantic forest area Santa Catarina Island Southern Brazil. Biotemas 22: 143-151.,2009,Article
125,Antunes PC Campos MAA Oliveira-Santos LGR Graipel ME (2010) Population dynamics of Akodon montensis (Rodentia Cricetidae) in the Atlantic forest of Southern Brazil. Mammalian Biology 75: 186-190.,2010,Article
126,Balieiro P Miranda MLP Dornelles SS Soares A Hass I Sbalqueiro IJ (2014) Pequenos mamíferos não voadores (Rodentia e Didelphimorphia) do Parque Estadual Acaraí São Francisco do Sul Santa Catarina Brasil. Boletim da Sociedade Brasileira de Mastozoologia 71: 37-41.,2014,Article
127,Tortato FR Testoni AF Althoff SL (2014) Mastofauna terrestre da Reserva Biológica Estadual do Sassafrás Doutor Pedrinho Santa Catarina Sul do Brasil. Biotemas 27: 123-129.,2014,Article
128,Balieiro P Behs D Graipel ME Dornelles SS Tiepolo LM Cremer MJ (2015) Riqueza de mamíferos não voadores em florestas de restinga do Sul do Brasil. Mastozoología Neotropical 22: 367-373.,2015,Article
129,Cherem JJ Althoff SL (2015) Mamíferos de uma área de estepe ombrófila nos estados do Paraná e Santa Catarina sul do Brasil. Boletim da Sociedade Brasileira de Mastozoologia 73: 42-50.,2015,Article
130,Regolin AL Furnari N de Castro Jacinavicius F Linardi PM de Carvalho-Pinto CJ (2015) Ectoparasites of the critically endangered insular cavy Cavia intermedia (Rodentia: Caviidae) southern Brazil. International Journal for Parasitology: Parasites and Wildlife 4: 37-42.,2015,Article
131,Regolin AL Cherem JJ (Unpubl. Data. a) ,NA,Unpublish
132,Regolin AL Cherem JJ (Unpubl. Data. b) ,NA,Unpublish
133,de la Sancha NU (2014) Patterns of small mammal diversity in fragments of subtropical Interior Atlantic Forest in eastern Paraguay. Mammalia 78: 1-13.,2014,Article
134,Pessôa FS Modesto TC Albuquerque HG Attias N Bergallo HG (2009) Non-volant mammals Reserva Particular do Patrimônio Natural (RPPN) Rio das Pedras municipality of Mangaratiba state of Rio de Janeiro Brazil. Check List 5: 577-586.,2009,Article
135,Scheibler DR Christoff AU (2007) Habitat associations of small mammals in southern Brazil and use of regurgitated pellets of birds of prey for inventorying a local fauna. Brazilian Journal of Biology 67: 619-625.,2007,Article
136,Passamani M Fernandez FAS (2011) Movements of small mammals among Atlantic Forest fragments in Espirito Santo Southeastern Brazil. Mammalia 75: 83-86.,2011,Article
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
