"record_id","survey_id","species_id","species_code","record","presence_absence"
10344.00,1005.00,1012.00,"Lyca_gymn",,0.00
10345.00,1005.00,1013.00,"Speo_vena",,0.00
10346.00,1005.00,1014.00,"Feli_catu",,0.00
10347.00,1005.00,1015.00,"Leop_pard",,0.00
10348.00,1005.00,1016.00,"Leop_gutt",2.00,1.00
10349.00,1005.00,1017.00,"Leop_wied",,0.00
10350.00,1005.00,1018.00,"Leop_sp.",,0.00
10351.00,1005.00,1019.00,"Pant_onca",,0.00
10352.00,1005.00,1020.00,"Puma_conc",,0.00
10353.00,1005.00,1021.00,"Puma_yago",,0.00
10354.00,1005.00,1022.00,"Cone_chin",,0.00
10355.00,1005.00,1023.00,"Cone_semi",,0.00
10356.00,1005.00,1024.00,"Eira_barb",,0.00
10357.00,1005.00,1025.00,"Gali_cuja",,0.00
10358.00,1005.00,1026.00,"Lont_long",,0.00
10359.00,1005.00,1027.00,"Nasu_nasu",2.00,1.00
10360.00,1005.00,1028.00,"Potu_flav",,0.00
10361.00,1005.00,1029.00,"Proc_canc",1.00,1.00
10362.00,1005.00,1030.00,"Stur_lili",,0.00
10363.00,1005.00,1031.00,"Caba_tato",,0.00
10364.00,1005.00,1032.00,"Caba_unic",,0.00
10365.00,1005.00,1033.00,"Caba_sp.",,0.00
10366.00,1005.00,1034.00,"Dasy_nove",5.00,1.00
10367.00,1005.00,1035.00,"Dasy_sept",,0.00
10368.00,1005.00,1036.00,"Dasy_sp.",,0.00
10369.00,1005.00,1037.00,"Euph_sexc",,0.00
10370.00,1005.00,1038.00,"Prio_maxi",,0.00
10371.00,1005.00,1039.00,"Dide_albi",8.00,1.00
10372.00,1005.00,1040.00,"Dide_auri",,0.00
10373.00,1005.00,1041.00,"Dide_sp.",,0.00
10374.00,1005.00,1042.00,"Grac_agil",,0.00
10375.00,1005.00,1043.00,"Grac_micr",,0.00
10376.00,1005.00,1044.00,"Marm_muri",,0.00
10377.00,1005.00,1045.00,"Marm_inca",,0.00
10378.00,1005.00,1046.00,"Marm_sp.",,0.00
10379.00,1005.00,1047.00,"Meta_nudi",,0.00
10380.00,1005.00,1048.00,"Mono_scal",,0.00
10381.00,1005.00,1049.00,"Phil_fren",,0.00
10382.00,1005.00,1050.00,"Phil_opos",,0.00
10383.00,1005.00,1051.00,"Lepu_euro",,0.00
10384.00,1005.00,1052.00,"Sylv_bras",,0.00
10385.00,1005.00,1053.00,"Tapi_terr",,0.00
10386.00,1005.00,1054.00,"Brad_torq",,0.00
10387.00,1005.00,1055.00,"Myrm_trid",,0.00
10388.00,1005.00,1056.00,"Tama_tetr",,0.00
10389.00,1005.00,1057.00,"Alou_cara",,0.00
10390.00,1005.00,1058.00,"Alou_guar",,0.00
10391.00,1005.00,1059.00,"Brac_hypo",,0.00
10392.00,1005.00,1060.00,"Call_geof",,0.00
10393.00,1005.00,1061.00,"Call_kuhl",,0.00
10394.00,1005.00,1062.00,"Call_peni",,0.00
10395.00,1005.00,1063.00,"Leon_chry",,0.00
10396.00,1005.00,1064.00,"Sapa_nigr",,0.00
10397.00,1005.00,1065.00,"Sapa_xant",,0.00
10398.00,1005.00,1066.00,"Call_mela",,0.00
10399.00,1005.00,1067.00,"Cavi_sp.",,0.00
10400.00,1005.00,1068.00,"Hydr_hydr",,0.00
10401.00,1005.00,1069.00,"Juli_pict",,0.00
10402.00,1005.00,1070.00,"Nect_squa",,0.00
10403.00,1005.00,1071.00,"Soor_ango",,0.00
10404.00,1005.00,1072.00,"Cuni_paca",,0.00
10405.00,1005.00,1073.00,"Dasy_azar",,0.00
