,ID_codref,Bib_Ref,Country,State,Municipality,Site,Latitude_y,Longitude_x,Category_coord,Year_start,Year_finish,Habitat,Method,Number_nets,Net_size,RN_total_effort,Number_point_counts,Point_count_temporal_replicates,PE_total_effort,Olsoneconame,OlsonG200r,Ribeirovegtype,BSRs,Altitude,Annual_rainfall,Annual_temperature
2966,964,NA,Brazil,SP,SUZAN√ÅPOLIS,Fazenda Brasil,-20.466666,-51.016666,MOS,1996,1996,Not informed,OO,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,367,218,25.3
2967,965,NA,Brazil,SP,BEBEDOURO,MunicÌpio de Bebedouro,-20.95,-48.483333,MUN,,,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Savana,Florestas de Interior,601,252,24.1
2968,966,NA,Brazil,SP,ITUVERAVA,MunicÌpio de Ituverava,-20.333333,-47.783333,MUN,,,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Areas de Tensao Ecologica,Florestas de Interior,610,300,23.9
2969,967,NA,Brazil,SP,BURI,AracaÁu,-23.65,-48.516666,MUN,,,Not informed,OO,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Areas de Tensao Ecologica,Florestas de Interior,619,188,22.9
2970,968,NA,Brazil,SP,ALTAIR,Fazenda S„o Jo„o,-20.533333,-49.2,MUN,1996,1996,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Areas de Tensao Ecologica,Florestas de Interior,448,242,25.1
2971,969,NA,Brazil,SP,BARRETOS,Fazenda Vista Bonita,-20.483333,-48.8,MUN,1996,1996,Not informed,OO,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,487,239,24.8
2972,paula31,NA,Brazil,MG,MARLIERIA,Parque Estadual do Rio Doce,-19.716666,-42.583333,PTCENTRAL,1977,1978,Not informed,INV,,NA,NA,NA,NA,NA,Bahia interior forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,305,212,25.8
2973,paula32,NA,Brazil,MG,MARLIERIA,Parque Estadual do Rio Doce,-19.716666,-42.583333,PTCENTRAL,1977,1978,Not informed,INV,,NA,NA,NA,NA,NA,Bahia interior forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,305,212,25.8
2974,paula33,NA,Brazil,MG,CONCEICAO DO MATO DENTRO,0,-19.05,-43.366666,MUN,1977,1978,Not informed,INV,,NA,NA,NA,NA,NA,Bahia interior forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,817,262,23
2975,paula34,NA,Brazil,MG,CONCEICAO DO MATO DENTRO,0,-19.05,-43.366666,MUN,1977,1978,Not informed,INV,,NA,NA,NA,NA,NA,Bahia interior forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,817,262,23
2976,paula35,NA,Brazil,MG,MORRO DO PILAR,Serra do CipÛ,-19.233333,-43.483333,MOS,1977,1978,Not informed,INV,,NA,NA,NA,NA,NA,Campos Rupestres montane savanna,Atlantic Forests,NA,NA,912,263,21.3
2977,paula36,NA,Brazil,MG,MORRO DO PILAR,Serra do CipÛ,-19.233333,-43.483333,MOS,1977,1978,Not informed,INV,,NA,NA,NA,NA,NA,Campos Rupestres montane savanna,Atlantic Forests,NA,NA,912,263,21.3
2978,paula37,NA,Brazil,MG,MORRO DO PILAR,Serra do CipÛ,-19.233333,-43.483333,MOS,1977,1978,Not informed,INV,,NA,NA,NA,NA,NA,Campos Rupestres montane savanna,Atlantic Forests,NA,NA,912,263,21.3
2979,paula38,NA,Brazil,MG,JABOTICATUBAS,Rio do CipÛ,-19.416666,-43.65,MOS,1977,1978,Not informed,INV,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,NA,NA,1021,246,22.9
2980,paula39,NA,Brazil,MG,JABOTICATUBAS,Rio do CipÛ,-19.35,-43.616666,PTCENTRAL,1977,1978,Not informed,INV,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,NA,NA,913,246,23.2
2981,paula40,NA,Brazil,MG,PEDRAS DE MARIA DA CRUZ,Rodovia Montes Claros-Janu·ria,-15.716666,-44.366666,MOS,1977,1978,Not informed,INV,,NA,NA,NA,NA,NA,Atlantic dry forests,Atlantic Dry Forests,Floresta Estacional Decidual,S√£o Francisco,598,148,24.9
