"ID","Country","State","Municipality","Study_location","Latitude","Longitude","Precision","Reserve_Area","Altitude","Altitude1km","Annual_mean_temperature","Annual_rainfall","Olsong200r","Olsoneconame","ribeirovegtype","BSRs","uc","protectedtype"
"bat1088","Brazil","RIO GRANDE DO NORTE","NATAL","UFRN Campus","-5.83810200000","-35.20236100000","Precise",NA,"35",45,"25.7",1439,"Atlantic Forests","Atlantic Coast restingas",NA,"Pernambuco",NA,NA
"bat1089","Paraguay","CANINDEYU","Villa Ygatmi","Mbaracayu","-24.15000000000","-55.50000000000","Not-Precise",66000,NA,156,"22.6",1611,"Atlantic Forests","Alto Parana Atlantic forests",NA,NA,NA,"Private Reserve"
"bat1090","Paraguay","AMAMBAY","KARAPAI","Yaguarete","-23.80000000000","-56.01000000000","Not-Precise",16000,NA,143,"22.8",1476,"Atlantic Forests","Alto Parana Atlantic forests",NA,NA,NA,NA
"bat1091","Paraguay","AMAMBAY","PEDRO JUAN CABALLERO","Cerro Cora py10","-22.63000000000","-56.02000000000","Not-Precise",12038,NA,255,"23.2",1398,"Atlantic Forests","Alto Parana Atlantic forests",NA,NA,NA,"National Park"
"bat1092","Paraguay","ITAPUA","ALTO VERA","San Rafael py26","-26.77000000000","-55.85000000000","Not-Precise",78000,NA,184,"21.5",1758,"Atlantic Forests","Alto Parana Atlantic forests",NA,NA,NA,NA
"bat1093","Paraguay","CORDILLERA","JUAN DE MENA","Sombrero py20","-25.07000000000","-56.60000000000","Not-Precise",NA,NA,89,"22.5",1407,NA,"Humid Chaco",NA,NA,NA,NA
"bat1094","Paraguay","NEEMBUCU","SAN JUAN BAUTISTA DE NEEMBUCU","Yacare py24","-26.63000000000","-58.12000000000","Not-Precise",NA,NA,58,"22.2",1403,NA,"Humid Chaco",NA,NA,NA,NA
"bat1095","Brazil","SAO PAULO","PORTO FERREIRA","Parque Estadual de Porto Ferreira Trilha Arvores Gigantes e Taquara","-21.85277778000","-47.43055556000","Not-Precise",611.55,"650",582,"21",1283,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","Y","Park"
"bat1096","Brazil","PARANA","PONTA GROSSA","Ponta Grossa","-25.07278455000","-50.13869692000","Not-Precise",33,"905",887,"18.1",1459,"Cerrado Woodlands and Savannas","Cerrado","Savana","Florestas de Araucaria","N",NA
"bat1097","Brazil","SAO PAULO","RIBEIRAO GRANDE","Intervales","-24.27000000000","-48.40001900000","Not-Precise",NA,NA,875,"17.5",1399,"Atlantic Forests","Alto Parana Atlantic forests",NA,"Interior Forests","Y","Park"
